mun,alcaldia,mat_2024_2025,mat_2035_2036,variacion_matricula_pct,conapo_2024,conapo_2035,variacion_conapo_pct,correlacion_pearson,num_escuelas
002,Azcapotzalco,44011,31991,-27.31,65775,49720,-24.41,0.9984,180
003,Coyoacán,55601,41237,-25.83,80230,51887,-35.33,0.9984,190
004,Cuajimalpa de Morelos,25463,22939,-9.91,43060,34796,-19.19,0.9951,48
005,Gustavo A. Madero,155008,119306,-23.03,195109,138901,-28.81,0.9982,404
006,Iztacalco,46077,34057,-26.09,63459,44751,-29.48,0.9986,146
007,Iztapalapa,232695,182010,-21.78,337038,237837,-29.43,0.9979,497
008,La Magdalena Contreras,28014,20724,-26.02,45096,34158,-24.25,0.998,73
009,Milpa Alta,26023,23570,-9.43,36540,32811,-10.21,0.9817,47
010,Álvaro Obregón,67180,51945,-22.68,128748,99723,-22.54,0.997,185
011,Tláhuac,59679,49526,-17.01,78915,59214,-24.96,0.997,99
012,Tlalpan,73810,58685,-20.49,123058,93478,-24.04,0.9975,157
013,Xochimilco,55891,45705,-18.22,84572,63885,-24.46,0.9971,97
014,Benito Juárez,21820,15241,-30.15,43411,32451,-25.25,0.997,104
015,Cuauhtémoc,49202,36512,-25.79,72058,51684,-28.27,0.9975,215
016,Miguel Hidalgo,34596,27480,-20.57,56780,42534,-25.09,0.9966,136
017,Venustiano Carranza,47219,35549,-24.71,72073,52232,-27.53,0.9981,166
