idinmueble,cct1,cct2,cct3,cct4,inmueble,principal,alcaldia,coord_x,coord_y,CVEGEO_AGEB,CVE_MUN,CVE_AGEB,matricula_911,fuente_matricula_base,mat_2024_2025,mat_2025_2026,mat_2026_2027,mat_2027_2028,mat_2028_2029,mat_2029_2030,mat_2030_2031,mat_2031_2032,mat_2032_2033,mat_2033_2034,mat_2034_2035,mat_2035_2036,observaciones
800266,09DSN0020C,,,,PIONEROS DEL COOPERATIVISMO,Secundaria,Azcapotzalco,-99.185277,19.475208,0900200010472,002,0472,5,Estadística 911,5,5,5,5,5,4,4,4,4,4,4,4,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800379,09DML0103T,,,,CENTRO DE ATENCIÓN MÚLTIPLE No. 11,Especial - CAM,Benito Juárez,-99.157272,19.365917,0901400010844,014,0844,41,Estadística 911,41,42,43,44,45,46,47,48,50,51,52,53,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800482,09DSN0037C,,,,MARIANO AZUELA,Secundaria,Benito Juárez,-99.14225,19.36826,0901400010774,014,0774,63,Estadística 911,63,61,59,57,56,54,52,50,49,47,45,44,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800530,09DML0034N,,,,INSTITUTO NACIONAL PARA LA REHABILITACIÓN DE NIÑOS CIEGOS Y DÉBILES VISUALES,Especial - CAM,Coyoacán,-99.162142,19.357093,0900300010037,003,0037,90,Estadística 911,90,91,92,93,94,95,96,97,98,99,100,101,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800673,09DML0036L,,,,CENTRO DE ATENCIÓN MÚLTIPLE NO. 73,Especial - CAM,Coyoacán,-99.133815,19.350195,0900300010179,003,0179,72,Estadística 911,72,73,73,74,75,76,77,77,78,79,80,81,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800914,09DJN1079R,,,,REP. ESPAÑOLA,Preescolar,Cuauhtémoc,-99.131558,19.451552,0901500010339,015,0339,78,Estadística 911,78,74,71,68,65,61,59,56,53,51,49,46,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800946,09DBA0021Y,09DBS0033B,,,DR. LEOPOLDO SALAZAR VINIEGRA,Adultos - CEDEX,Cuauhtémoc,-99.137714,19.423304,0901500011040,015,1040,55,Estadística 911,55,52,49,47,44,42,39,37,34,33,31,30,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
800949,09DES1000O,09DES1001N,,,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,Secundaria,Cuauhtémoc,-99.161421,19.442539,0901500010593,015,0593,1044,Estadística 911,1044,1018,994,969,945,922,899,877,855,834,814,794,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
801403,09DJN0075O,,,,FELIPE CARRILLO PUERTO,Preescolar,Iztacalco,-99.0978,19.386066,0900600011130,006,1130,70,Estadística 911,70,67,64,62,60,57,55,52,50,48,46,44,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
801557,09DML0040Y,09DML0132O,,,CAM 20 HELLEN KELLER,Especial - CAM,Iztapalapa,-99.091725,19.351988,0900700013967,007,3967,118,Estadística 911,118,122,127,131,136,141,146,151,156,162,168,174,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
801796,09DDI0041B,,,,OLLIN CALLI,Inicial,Iztapalapa,-99.087709,19.306655,0900700015624,007,5624,40,Estadística 911,40,39,37,36,35,34,32,31,30,29,28,27,Las proyecciones futuras fueron reescaladas tomando la matrícula 911 como base oficial y conservando la trayectoria relativa del modelo original.
