idinmueble,cct1,cct2,cct3,cct4,inmueble,principal,alcaldia,coord_x,coord_y,matricula_siieweb,matricula_911,matricula_base_2024_2025,fuente_matricula_base,nivel_proyeccion,participacion_grupo,tasa_ajustada_pct,estado_proyeccion,CVEGEO_AGEB,CVE_MUN,CVE_AGEB,mat_2024_2025,mat_2025_2026,mat_2026_2027,mat_2027_2028,mat_2028_2029,mat_2029_2030,mat_2030_2031,mat_2031_2032,mat_2032_2033,mat_2033_2034,mat_2034_2035,mat_2035_2036,observaciones
800266,09DSN0020C,,,,PIONEROS DEL COOPERATIVISMO,Secundaria,Azcapotzalco,-99.185277,19.475208,16,5,16,SIIEWEB,Secundaria,0.0011387089886840795,-2.6216,OK,0900200010472,002,0472,17,17,17,16,16,15,15,14,14,14,13,13,Diferencia entre SIIEWeb (16) y Estadística 911 (5); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800379,09DML0103T,,,,CENTRO DE ATENCIÓN MÚLTIPLE No. 11,Especial - CAM,Benito Juárez,-99.157272,19.365917,41,41,41,Iguales,Especial,0.09761904761904762,2.4301,OK,0901400010844,014,0844,181,186,190,195,199,204,209,214,219,225,230,236,Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800482,09DSN0037C,,,,MARIANO AZUELA,Secundaria,Benito Juárez,-99.14225,19.36826,68,63,68,SIIEWEB,Secundaria,0.008602150537634409,-3.2668,OK,0901400010774,014,0774,127,123,119,115,112,108,104,101,98,95,91,89,Diferencia entre SIIEWeb (68) y Estadística 911 (63); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800530,09DML0034N,,,,INSTITUTO NACIONAL PARA LA REHABILITACIÓN DE NIÑOS CIEGOS Y DÉBILES VISUALES,Especial - CAM,Coyoacán,-99.162142,19.357093,90,90,90,Iguales,Especial,0.09879253567508232,1.068,OK,0900300010037,003,0037,341,344,348,352,356,359,363,367,371,375,379,383,Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800673,09DML0036L,,,,CENTRO DE ATENCIÓN MÚLTIPLE NO. 73,Especial - CAM,Coyoacán,-99.133815,19.350195,80,72,80,SIIEWEB,Especial,0.08781558726673985,1.068,OK,0900300010179,003,0179,303,306,309,313,316,319,323,326,330,333,337,341,Diferencia entre SIIEWeb (80) y Estadística 911 (72); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800914,09DJN1079R,,,,REP. ESPAÑOLA,Preescolar,Cuauhtémoc,-99.131558,19.451552,81,78,81,SIIEWEB,Preescolar,0.013735797863320333,-4.6326,OK,0901500010339,015,0339,151,144,137,131,125,119,114,108,103,99,94,90,Diferencia entre SIIEWeb (81) y Estadística 911 (78); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800946,09DBA0021Y,09DBS0033B,,,DR. LEOPOLDO SALAZAR VINIEGRA,Adultos - CEDEX,Cuauhtémoc,-99.137714,19.423304,37,55,55,911,Adultos,0.7746478873239436,-5.6273,OK,0901500011040,015,1040,74,70,66,63,59,56,53,50,46,44,42,40,Diferencia entre SIIEWeb (37) y Estadística 911 (55); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800949,09DES1000O,09DES1001N,,,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,Secundaria,Cuauhtémoc,-99.161421,19.442539,1047,1044,1047,SIIEWEB,Secundaria,0.06227324094450723,-2.4639,OK,0901500010593,015,0593,1265,1234,1204,1174,1145,1117,1089,1063,1036,1011,986,962,Diferencia entre SIIEWeb (1047) y Estadística 911 (1044); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
801403,09DJN0075O,,,,FELIPE CARRILLO PUERTO,Preescolar,Iztacalco,-99.0978,19.386066,61,70,70,911,Preescolar,0.012706480304955527,-4.127,OK,0900600011130,006,1130,101,97,93,89,86,82,79,75,72,69,66,64,Diferencia entre SIIEWeb (61) y Estadística 911 (70); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
801557,09DML0040Y,09DML0132O,,,CAM 20 HELLEN KELLER,Especial - CAM,Iztapalapa,-99.091725,19.351988,130,118,130,SIIEWEB,Especial,0.07817197835237523,3.5745,OK,0900700013967,007,3967,923,956,991,1026,1062,1100,1140,1181,1223,1267,1312,1359,Diferencia entre SIIEWeb (130) y Estadística 911 (118); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
