idinmueble,cct1,cct2,cct3,cct4,inmueble,principal,alcaldia,coord_x,coord_y,matricula_siieweb,matricula_911,matricula_base_2024_2025,fuente_matricula_base,nivel_proyeccion,participacion_grupo,tasa_ajustada_pct,estado_proyeccion,CVEGEO_AGEB,CVE_MUN,CVE_AGEB,mat_2024_2025,mat_2035_2036,crecimiento_2024_2025_a_2025_2026_pct,crecimiento_2025_2026_a_2026_2027_pct,crecimiento_2026_2027_a_2027_2028_pct,crecimiento_2027_2028_a_2028_2029_pct,crecimiento_2028_2029_a_2029_2030_pct,crecimiento_2029_2030_a_2030_2031_pct,crecimiento_2030_2031_a_2031_2032_pct,crecimiento_2031_2032_a_2032_2033_pct,crecimiento_2032_2033_a_2033_2034_pct,crecimiento_2033_2034_a_2034_2035_pct,crecimiento_2034_2035_a_2035_2036_pct,cambio_absoluto_2024_2025_a_2035_2036,crecimiento_acumulado_2024_2025_a_2035_2036_pct,tasa_media_anual_pct,tendencia_general,observaciones
800266,09DSN0020C,,,,PIONEROS DEL COOPERATIVISMO,Secundaria,Azcapotzalco,-99.185277,19.475208,16,5,16,SIIEWEB,Secundaria,0.0011387089886840795,-2.6216,OK,0900200010472,002,0472,17,13,0.0,0.0,-5.8824,0.0,-6.25,0.0,-6.6667,0.0,0.0,-7.1429,0.0,-4.0,-23.5294,-2.4093,Disminución,Diferencia entre SIIEWeb (16) y Estadística 911 (5); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800379,09DML0103T,,,,CENTRO DE ATENCIÓN MÚLTIPLE No. 11,Especial - CAM,Benito Juárez,-99.157272,19.365917,41,41,41,Iguales,Especial,0.09761904761904762,2.4301,OK,0901400010844,014,0844,181,236,2.7624,2.1505,2.6316,2.0513,2.5126,2.451,2.3923,2.3364,2.7397,2.2222,2.6087,55.0,30.3867,2.4415,Crecimiento,Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800482,09DSN0037C,,,,MARIANO AZUELA,Secundaria,Benito Juárez,-99.14225,19.36826,68,63,68,SIIEWEB,Secundaria,0.008602150537634409,-3.2668,OK,0901400010774,014,0774,127,89,-3.1496,-3.252,-3.3613,-2.6087,-3.5714,-3.7037,-2.8846,-2.9703,-3.0612,-4.2105,-2.1978,-38.0,-29.9213,-3.1806,Disminución,Diferencia entre SIIEWeb (68) y Estadística 911 (63); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800530,09DML0034N,,,,INSTITUTO NACIONAL PARA LA REHABILITACIÓN DE NIÑOS CIEGOS Y DÉBILES VISUALES,Especial - CAM,Coyoacán,-99.162142,19.357093,90,90,90,Iguales,Especial,0.09879253567508232,1.068,OK,0900300010037,003,0037,341,383,0.8798,1.1628,1.1494,1.1364,0.8427,1.1142,1.1019,1.0899,1.0782,1.0667,1.0554,42.0,12.3167,1.0615,Crecimiento,Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800673,09DML0036L,,,,CENTRO DE ATENCIÓN MÚLTIPLE NO. 73,Especial - CAM,Coyoacán,-99.133815,19.350195,80,72,80,SIIEWEB,Especial,0.08781558726673985,1.068,OK,0900300010179,003,0179,303,341,0.9901,0.9804,1.2945,0.9585,0.9494,1.2539,0.9288,1.227,0.9091,1.2012,1.1869,38.0,12.5413,1.0799,Crecimiento,Diferencia entre SIIEWeb (80) y Estadística 911 (72); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800914,09DJN1079R,,,,REP. ESPAÑOLA,Preescolar,Cuauhtémoc,-99.131558,19.451552,81,78,81,SIIEWEB,Preescolar,0.013735797863320333,-4.6326,OK,0901500010339,015,0339,151,90,-4.6358,-4.8611,-4.3796,-4.5802,-4.8,-4.2017,-5.2632,-4.6296,-3.8835,-5.0505,-4.2553,-61.0,-40.3974,-4.5953,Disminución,Diferencia entre SIIEWeb (81) y Estadística 911 (78); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800946,09DBA0021Y,09DBS0033B,,,DR. LEOPOLDO SALAZAR VINIEGRA,Adultos - CEDEX,Cuauhtémoc,-99.137714,19.423304,37,55,55,911,Adultos,0.7746478873239436,-5.6273,OK,0901500011040,015,1040,74,40,-5.4054,-5.7143,-4.5455,-6.3492,-5.0847,-5.3571,-5.6604,-8.0,-4.3478,-4.5455,-4.7619,-34.0,-45.9459,-5.4391,Disminución,Diferencia entre SIIEWeb (37) y Estadística 911 (55); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
800949,09DES1000O,09DES1001N,,,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,Secundaria,Cuauhtémoc,-99.161421,19.442539,1047,1044,1047,SIIEWEB,Secundaria,0.06227324094450723,-2.4639,OK,0901500010593,015,0593,1265,962,-2.4506,-2.4311,-2.4917,-2.4702,-2.4454,-2.5067,-2.3875,-2.54,-2.4131,-2.4728,-2.4341,-303.0,-23.9526,-2.4585,Disminución,Diferencia entre SIIEWeb (1047) y Estadística 911 (1044); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
801403,09DJN0075O,,,,FELIPE CARRILLO PUERTO,Preescolar,Iztacalco,-99.0978,19.386066,61,70,70,911,Preescolar,0.012706480304955527,-4.127,OK,0900600011130,006,1130,101,64,-3.9604,-4.1237,-4.3011,-3.3708,-4.6512,-3.6585,-5.0633,-4.0,-4.1667,-4.3478,-3.0303,-37.0,-36.6337,-4.0628,Disminución,Diferencia entre SIIEWeb (61) y Estadística 911 (70); se utilizó 911. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
801557,09DML0040Y,09DML0132O,,,CAM 20 HELLEN KELLER,Especial - CAM,Iztapalapa,-99.091725,19.351988,130,118,130,SIIEWEB,Especial,0.07817197835237523,3.5745,OK,0900700013967,007,3967,923,1359,3.5753,3.6611,3.5318,3.5088,3.5782,3.6364,3.5965,3.5563,3.5977,3.5517,3.5823,436.0,47.2373,3.5796,Crecimiento,Diferencia entre SIIEWeb (130) y Estadística 911 (118); se utilizó SIIEWEB. Proyección técnica para planeación; no sustituye cifras oficiales de la AEFCM.
