clave,mun,alcaldia,anio,pob_00_04,pob_05_09,pob_10_14,pob_00_14
09002,002,Azcapotzalco,2024,19732,21074,24969,65775
09002,002,Azcapotzalco,2025,19436,20126,24325,63887
09002,002,Azcapotzalco,2026,19134,19314,23614,62062
09002,002,Azcapotzalco,2027,18812,18706,22799,60317
09002,002,Azcapotzalco,2028,18494,18235,21923,58652
09002,002,Azcapotzalco,2029,18167,17867,21002,57036
09002,002,Azcapotzalco,2030,17839,17571,20063,55473
09002,002,Azcapotzalco,2031,17508,17273,19256,54037
09002,002,Azcapotzalco,2032,17173,16965,18652,52790
09002,002,Azcapotzalco,2033,16838,16661,18179,51678
09002,002,Azcapotzalco,2034,16500,16356,17811,50667
09002,002,Azcapotzalco,2035,16154,16054,17512,49720
09003,003,Coyoacán,2024,23214,25754,31262,80230
09003,003,Coyoacán,2025,22525,24294,30033,76852
09003,003,Coyoacán,2026,21848,23023,28750,73621
09003,003,Coyoacán,2027,21161,22020,27368,70549
09003,003,Coyoacán,2028,20490,21191,25947,67628
09003,003,Coyoacán,2029,19824,20506,24504,64834
09003,003,Coyoacán,2030,19173,19906,23077,62156
09003,003,Coyoacán,2031,18535,19319,21835,59689
09003,003,Coyoacán,2032,17908,18735,20849,57492
09003,003,Coyoacán,2033,17291,18163,20030,55484
09003,003,Coyoacán,2034,16684,17600,19344,53628
09003,003,Coyoacán,2035,16087,17054,18746,51887
09004,004,Cuajimalpa de Morelos,2024,13715,13846,15499,43060
09004,004,Cuajimalpa de Morelos,2025,13558,13306,15205,42069
09004,004,Cuajimalpa de Morelos,2026,13398,12847,14863,41108
09004,004,Cuajimalpa de Morelos,2027,13221,12520,14453,40194
09004,004,Cuajimalpa de Morelos,2028,13042,12278,13995,39315
09004,004,Cuajimalpa de Morelos,2029,12861,12108,13499,38468
09004,004,Cuajimalpa de Morelos,2030,12675,11982,12988,37645
09004,004,Cuajimalpa de Morelos,2031,12490,11857,12556,36903
09004,004,Cuajimalpa de Morelos,2032,12302,11720,12251,36273
09004,004,Cuajimalpa de Morelos,2033,12109,11587,12028,35724
09004,004,Cuajimalpa de Morelos,2034,11915,11450,11874,35239
09004,004,Cuajimalpa de Morelos,2035,11716,11316,11764,34796
09005,005,Gustavo A. Madero,2024,60080,62079,72950,195109
09005,005,Gustavo A. Madero,2025,58813,58956,70680,188449
09005,005,Gustavo A. Madero,2026,57549,56260,68239,182048
09005,005,Gustavo A. Madero,2027,56250,54196,65528,175974
09005,005,Gustavo A. Madero,2028,54962,52533,62670,170165
09005,005,Gustavo A. Madero,2029,53673,51199,59711,164583
09005,005,Gustavo A. Madero,2030,52392,50078,56741,159211
09005,005,Gustavo A. Madero,2031,51122,48965,54175,154262
09005,005,Gustavo A. Madero,2032,49862,47836,52197,149895
09005,005,Gustavo A. Madero,2033,48603,46726,50608,145937
09005,005,Gustavo A. Madero,2034,47345,45631,49326,142302
09005,005,Gustavo A. Madero,2035,46094,44552,48255,138901
09006,006,Iztacalco,2024,18922,20231,24306,63459
09006,006,Iztacalco,2025,18470,19204,23590,61264
09006,006,Iztacalco,2026,18021,18317,22814,59152
09006,006,Iztacalco,2027,17562,17632,21943,57137
09006,006,Iztacalco,2028,17110,17083,21020,55213
09006,006,Iztacalco,2029,16656,16638,20060,53354
09006,006,Iztacalco,2030,16212,16261,19088,51561
09006,006,Iztacalco,2031,15767,15888,18249,49904
09006,006,Iztacalco,2032,15327,15507,17608,48442
09006,006,Iztacalco,2033,14893,15135,17094,47122
09006,006,Iztacalco,2034,14456,14764,16682,45902
09006,006,Iztacalco,2035,14022,14397,16332,44751
09007,007,Iztapalapa,2024,100795,107968,128275,337038
09007,007,Iztapalapa,2025,98575,102444,124247,325266
09007,007,Iztapalapa,2026,96354,97671,119921,313946
09007,007,Iztapalapa,2027,94091,93985,115112,303188
09007,007,Iztapalapa,2028,91843,91013,110057,292913
09007,007,Iztapalapa,2029,89601,88621,104829,283051
09007,007,Iztapalapa,2030,87384,86598,99590,273572
09007,007,Iztapalapa,2031,85186,84596,95061,264843
09007,007,Iztapalapa,2032,83004,82571,91566,257141
09007,007,Iztapalapa,2033,80836,80596,88763,250195
09007,007,Iztapalapa,2034,78681,78636,86501,243818
09007,007,Iztapalapa,2035,76529,76708,84600,237837
09008,008,La Magdalena Contreras,2024,13427,14373,17296,45096
09008,008,La Magdalena Contreras,2025,13223,13731,16856,43810
09008,008,La Magdalena Contreras,2026,13015,13177,16372,42564
09008,008,La Magdalena Contreras,2027,12797,12764,15814,41375
09008,008,La Magdalena Contreras,2028,12579,12440,15213,40232
09008,008,La Magdalena Contreras,2029,12357,12192,14580,39129
09008,008,La Magdalena Contreras,2030,12132,11992,13936,38060
09008,008,La Magdalena Contreras,2031,11909,11791,13383,37083
09008,008,La Magdalena Contreras,2032,11683,11583,12970,36236
09008,008,La Magdalena Contreras,2033,11455,11379,12649,35483
09008,008,La Magdalena Contreras,2034,11226,11175,12400,34801
09008,008,La Magdalena Contreras,2035,10992,10969,12197,34158
09009,009,Milpa Alta,2024,11432,11580,13528,36540
09009,009,Milpa Alta,2025,11435,11197,13382,36014
09009,009,Milpa Alta,2026,11431,10878,13196,35505
